City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cape town,75,ZA,1579998942,88,-33.93,18.42,64.0,11.41
taraclia,78,MD,1579998942,44,45.9,28.67,34.95,3.42
rikitea,18,PF,1579998882,77,-23.12,-134.97,79.25,14.03
busselton,19,AU,1579998920,37,-33.65,115.33,81.0,8.79
arlit,16,NE,1579998943,10,18.74,7.39,66.99,8.59
coihaique,75,CL,1579998943,51,-45.58,-72.07,62.6,5.82
leningradskiy,97,RU,1579998943,95,69.38,178.42,-12.41,4.21
jamestown,90,US,1579998908,97,42.1,-79.24,36.0,5.82
narsaq,92,GL,1579998943,67,60.92,-46.05,19.4,4.7
barrow,1,US,1579998921,67,71.29,-156.79,-27.4,8.05
hobart,40,AU,1579998924,60,-42.88,147.33,75.0,8.05
ushuaia,75,AR,1579998917,66,-54.8,-68.3,50.0,23.04
mangai,69,CD,1579998943,74,-4.05,19.53,73.8,1.97
punta arenas,75,CL,1579998934,66,-53.15,-70.92,50.0,18.34
mataura,73,NZ,1579998944,61,-46.19,168.86,74.73,1.39
eirunepe,91,BR,1579998730,67,-6.66,-69.87,80.73,1.21
hilo,90,US,1579998933,57,19.73,-155.09,80.6,6.93
aswan,0,EG,1579998944,54,24.09,32.91,53.6,8.05
okhotsk,71,RU,1579998944,71,59.38,143.3,-19.48,14.83
boffa,88,GN,1579998944,85,10.17,-14.03,72.16,2.8
lebu,0,CL,1579998943,69,-37.62,-73.65,64.08,10.94
tasiilaq,100,GL,1579998944,63,65.61,-37.64,30.2,25.28
prado,100,BR,1579998944,83,-17.34,-39.22,77.02,10.02
hasaki,75,JP,1579998920,100,35.73,140.83,39.2,4.7
dunedin,49,NZ,1579998945,68,-45.87,170.5,66.99,19.01
chokurdakh,85,RU,1579998945,82,70.63,147.92,-26.25,4.25
khatanga,57,RU,1579998922,91,71.97,102.5,-24.14,2.89
albany,90,US,1579998902,93,42.6,-73.97,39.99,6.93
denton,90,US,1579998698,59,33.2,-97.13,62.6,10.29
cidreira,60,BR,1579998925,73,-30.18,-50.21,74.77,18.75
nisia floresta,40,BR,1579998945,83,-6.09,-35.21,82.4,10.29
tatawin,100,TN,1579998945,38,32.93,10.45,59.0,2.24
sembe,61,CG,1579998945,27,1.65,14.58,68.09,0.94
bengkulu,88,ID,1579998936,89,-3.8,102.27,74.98,2.44
ponta do sol,20,PT,1579998946,67,32.67,-17.1,60.8,5.82
coahuayana,40,MX,1579998946,69,18.73,-103.68,73.4,11.41
shelburne,90,CA,1579998660,100,44.08,-80.2,36.0,8.05
abu samrah,0,SY,1579998946,56,35.3,37.18,38.28,8.23
srednekolymsk,100,RU,1579998946,96,67.45,153.68,-25.67,4.18
ribeira grande,100,PT,1579998946,73,38.52,-28.7,54.72,5.19
te anau,90,NZ,1579998946,80,-45.42,167.72,62.67,4.34
kirakira,0,SB,1579998946,66,-10.45,161.92,85.98,5.01
kununurra,93,AU,1579998946,74,-15.77,128.73,86.0,4.7
port alfred,0,ZA,1579998947,98,-33.59,26.89,66.99,7.0
salto,67,UY,1579998806,75,-31.38,-57.97,81.0,1.01
namatanai,82,PG,1579998947,73,-3.67,152.43,84.67,10.92
oxapampa,100,PE,1579998947,99,-10.58,-75.4,56.3,0.72
san pedro,40,PH,1579998894,83,14.35,121.02,81.0,1.12
la ronge,90,CA,1579998947,85,55.1,-105.28,23.0,5.82
zhireken,17,RU,1579998947,93,52.82,117.31,-8.82,4.54
qaanaaq,0,GL,1579998947,44,77.48,-69.36,-12.51,5.12
esperance,86,AU,1579998947,68,-33.87,121.9,71.6,8.05
talaya,100,RU,1579998948,94,61.38,152.75,-30.77,8.23
atar,87,MR,1579998948,23,20.52,-13.05,72.72,9.91
vila velha,75,BR,1579998948,94,-20.33,-40.29,71.6,4.7
tongliao,0,CN,1579998948,77,43.61,122.27,2.98,4.07
kaseda,75,JP,1579998948,100,31.42,130.32,48.2,2.24
kutum,0,SD,1579998948,35,14.2,24.67,42.64,5.66
illapel,57,CL,1579998948,51,-31.63,-71.17,65.61,3.87
santa cruz de la palma,75,ES,1579998948,59,28.68,-17.76,62.6,5.82
lyuban,3,BY,1579998948,95,52.8,28.0,31.68,7.92
klaksvik,100,FO,1579998948,93,62.23,-6.59,44.6,10.29
vaini,90,TO,1579998488,88,-21.2,-175.2,80.6,13.87
huntsville,90,US,1579998834,78,34.73,-86.59,41.0,3.36
avarua,99,CK,1579998949,83,-21.21,-159.78,84.2,12.75
bluff,46,NZ,1579998928,51,-46.6,168.33,70.05,5.82
saskylakh,100,RU,1579998949,92,71.92,114.08,-20.0,17.58
estelle,1,US,1579998949,62,29.85,-90.11,59.0,6.93
upernavik,78,GL,1579998925,95,72.79,-56.15,-13.83,6.85
hualmay,94,PE,1579998949,73,-11.1,-77.61,73.54,3.8
fayaoue,44,NC,1579998949,78,-20.65,166.53,79.63,18.68
severo-kurilsk,100,RU,1579998950,92,50.68,156.12,18.72,43.49
tiksi,0,RU,1579998950,67,71.69,128.87,-26.52,5.5
great yarmouth,100,GB,1579998950,100,52.61,1.73,43.0,8.05
bathsheba,40,BB,1579998950,83,13.22,-59.52,77.0,5.82
hermanus,46,ZA,1579998950,92,-34.42,19.23,62.01,8.01
dikson,100,RU,1579998950,96,73.51,80.55,-7.82,7.07
atuona,62,PF,1579998950,78,-9.8,-139.03,80.78,15.21
puerto ayora,75,EC,1579998950,78,-0.74,-90.35,78.8,8.05
seoul,1,KR,1579998759,100,37.57,126.98,32.0,3.02
kahului,20,US,1579998670,51,20.89,-156.47,84.2,20.8
amlagora,0,IN,1579998950,54,22.83,87.33,54.79,4.14
orativ,90,UA,1579998951,84,49.19,29.53,32.0,8.95
tuktoyaktuk,90,CA,1579998951,75,69.45,-133.04,-13.0,24.16
saldanha,29,ZA,1579998951,82,-33.01,17.94,62.6,3.36
labuhan,100,ID,1579998951,91,-6.88,112.21,75.97,3.78
east london,0,ZA,1579998951,80,-33.02,27.91,75.58,15.05
roblin,100,CA,1579998951,96,51.23,-101.36,27.64,3.33
tabou,62,CI,1579998951,96,4.42,-7.35,77.23,1.39
havoysund,97,NO,1579998951,79,71.0,24.66,19.4,33.33
sao jose da coroa grande,74,BR,1579998952,85,-8.9,-35.15,81.91,17.96
luderitz,0,NA,1579998948,82,-26.65,15.16,68.0,10.29
hithadhoo,100,MV,1579998789,79,-0.6,73.08,82.65,14.88
ust-tsilma,99,RU,1579998952,98,65.44,52.15,-9.44,4.03
maymyo,0,MM,1579998952,87,22.03,96.47,44.6,2.24
codrington,76,AU,1579998952,89,-38.27,141.97,62.37,14.85
alofi,95,NU,1579998952,83,-19.06,-169.92,84.2,8.05
saint george,1,US,1579998904,42,37.1,-113.58,62.01,0.18
lata,20,PT,1579998921,100,40.16,-8.33,50.0,4.7
antofagasta,75,CL,1579998952,83,-23.65,-70.4,72.0,4.7
port elizabeth,75,ZA,1579998952,94,-33.92,25.57,68.0,19.46
esil,100,KZ,1579998953,88,51.96,66.4,14.61,23.62
castro,9,BR,1579998930,72,-24.79,-50.01,65.7,3.38
amapa,99,BR,1579998953,98,1.0,-52.0,74.21,3.71
yenagoa,83,NG,1579998953,71,4.92,6.26,72.36,1.05
arica,75,CL,1579998953,78,-18.48,-70.3,77.0,4.7
kaitangata,66,NZ,1579998953,68,-46.28,169.85,66.99,10.56
talnakh,75,RU,1579998953,84,69.49,88.4,1.4,8.95
airai,100,TL,1579998953,76,-8.93,125.41,76.33,1.03
arraial do cabo,0,BR,1579998589,83,-22.97,-42.03,75.79,9.4
bilibino,100,RU,1579998953,88,68.05,166.44,-4.9,4.18
ostrovnoy,65,RU,1579998954,99,68.05,39.51,0.63,8.19
yellowknife,90,CA,1579998954,85,62.46,-114.35,10.4,8.05
ancud,100,CL,1579998954,68,-41.87,-73.82,66.2,6.93
mandurah,12,AU,1579998954,53,-32.55,115.7,80.01,13.87
bilma,0,NE,1579998954,16,18.69,12.92,59.41,7.85
marrakesh,20,MA,1579998680,87,31.63,-8.01,48.2,2.24
thompson,90,CA,1579998954,92,55.74,-97.86,15.8,3.69
tucuman,1,AR,1579998954,62,-26.82,-65.22,86.0,4.7
pochutla,40,MX,1579998954,73,15.74,-96.47,82.4,6.93
mar del plata,0,AR,1579998954,45,-38.0,-57.56,68.0,13.87
porto belo,0,BR,1579998955,78,-27.16,-48.55,75.2,5.82
